INFO:     Started server process [996]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
[2026-08-22 06:22:55] INFO: Fetched (200) <POST https://MNRWEFSS2Q-dsn.algolia.net/1/indexes/*/queries?x-algolia-agent=Algolia+for+JavaScript+%284.14.3%29%3B+Browser> (referer: https://www.grailed.com/)
[2026-08-22 06:23:12] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/50e8b8fb56d043d09835452cb95beb5c> (referer: https://www.google.com/)
[2026-08-22 06:23:13] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/125a524661214c1abfd2ecee09ff0316> (referer: https://www.google.com/)
[2026-08-22 06:23:13] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/7773c423d1244c0d8ced0643255c397b> (referer: https://www.google.com/)
[2026-08-22 06:23:14] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/aa6a495117344f82b86936cc31967724> (referer: https://www.google.com/)
[2026-08-22 06:23:15] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/51099b8523b44313a7d25ae8cc76fafb> (referer: https://www.google.com/)
[2026-08-22 06:23:16] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/45892679/43d4386c240c402ca2300d583d0d6700> (referer: https://www.google.com/)
[2026-08-22 06:23:16] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/308c0fc5e3a94f7d8893dcf95abbc41e> (referer: https://www.google.com/)
[2026-08-22 06:23:17] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/a39cda0d0cf346d78695b6ed4b9c8d88> (referer: https://www.google.com/)
[2026-08-22 06:23:18] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/6bc7d4b45a86444589bd42f8121f61d6> (referer: https://www.google.com/)
[2026-08-22 06:23:19] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/21735296368c4b0797a9c4c9c3748f88> (referer: https://www.google.com/)
[2026-08-22 06:23:20] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/185b0d5daea6440ab1b754f43043c9a9> (referer: https://www.google.com/)
[2026-08-22 06:23:21] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/e01add44792a46f0b6e2bbbf470de138> (referer: https://www.google.com/)
[2026-08-22 06:23:21] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/b5ae2dc2107b41c18d8f3225daa6d591> (referer: https://www.google.com/)
[2026-08-22 06:23:23] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/55794ea3f9d84ef782796e9e34328b75> (referer: https://www.google.com/)
[2026-08-22 06:23:23] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/4bfb5d283b7d47a9afdba983b0df4e58> (referer: https://www.google.com/)
[2026-08-22 06:23:24] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/130f6dbd859e4870b3e8af4b82b03f40> (referer: https://www.google.com/)
[2026-08-22 06:23:25] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/bbc85214bb4649b38cfaa40f1b372082> (referer: https://www.google.com/)
[2026-08-22 06:23:25] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/1788fffbbfc1445ca25d20172633c5ae> (referer: https://www.google.com/)
[2026-08-22 06:23:26] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/563c432ce72c460aa801a3c20ab8cad8> (referer: https://www.google.com/)
[2026-08-22 06:23:27] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/f97b73aa77be41c980a20e18de928eb5> (referer: https://www.google.com/)
[2026-08-22 06:23:28] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/7b311d3d1dd34e9f863b72d5778625b6> (referer: https://www.google.com/)
[2026-08-22 06:23:28] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/288b45103a5b47058d1bab740a28e8be> (referer: https://www.google.com/)
[2026-08-22 06:23:29] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/dcaa9031961b493a822cd6fa79a249af> (referer: https://www.google.com/)
[2026-08-22 06:23:30] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/11dddff93ed041dc891da3e0766c4cce> (referer: https://www.google.com/)
[2026-08-22 06:23:30] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/2b62c19e1cf6427da1d1485180d4c171> (referer: https://www.google.com/)
[2026-08-22 06:23:31] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/696fa28ebf40405dbe3073829c91a53e> (referer: https://www.google.com/)
[2026-08-22 06:23:32] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/1751255b5dc84f78b23ade512c00abcc> (referer: https://www.google.com/)
[2026-08-22 06:23:32] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/2284acbe31c8430bb5e587174a46cc65> (referer: https://www.google.com/)
[2026-08-22 06:23:33] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/8af3795efe1b4cfebd59e5fe6eac31ba> (referer: https://www.google.com/)
[2026-08-22 06:23:34] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/f3b355114d4047459f57877a4b65c130> (referer: https://www.google.com/)
[2026-08-22 06:23:34] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/e7497e55d9f74b70b9917b65beccbc49> (referer: https://www.google.com/)
[2026-08-22 06:23:35] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/02d7b62bd8494466882e4fd5a455ac36> (referer: https://www.google.com/)
[2026-08-22 06:23:36] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/88f35f79a2ad41c6af5e62123438c3a5> (referer: https://www.google.com/)
[2026-08-22 06:23:36] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/77509b7d6b7c423799dfabd4d23b0ad0> (referer: https://www.google.com/)
[2026-08-22 06:23:37] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/1329411b54ba420086b92018b70e636b> (referer: https://www.google.com/)
[2026-08-22 06:23:38] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/be80b4019c654671b943942835cddeeb> (referer: https://www.google.com/)
[2026-08-22 06:23:38] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/076ee64165f14cc4a973fe2fb20035c7> (referer: https://www.google.com/)
[2026-08-22 06:23:39] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/5d1ca859baf94deca40dc2858760c48f> (referer: https://www.google.com/)
[2026-08-22 06:23:40] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/edf5dd4ff8fd4570a9de6653146e7b80> (referer: https://www.google.com/)
[2026-08-22 06:23:40] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/69914dc73b734e0090c504a8fae2ecc5> (referer: https://www.google.com/)
[2026-08-22 06:23:41] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/6034717008b640fb930e634e5a5d64ca> (referer: https://www.google.com/)
[2026-08-22 06:23:42] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/bd322721c7c14d8482fb50fcb84ee65d> (referer: https://www.google.com/)
[2026-08-22 06:23:42] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/3778fdf3eb094135a5bbab1aa183ebc3> (referer: https://www.google.com/)
[2026-08-22 06:23:43] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/eed0715025bc4b31a1ed921194150b8f> (referer: https://www.google.com/)
[2026-08-22 06:23:44] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/43fde353f5d74692a0900bd172c7d02e> (referer: https://www.google.com/)
[2026-08-22 06:23:44] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/e260c7dab8fa42dbbb2f96cf675bef47> (referer: https://www.google.com/)
[2026-08-22 06:23:45] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/fa1ee436166e4886bf9da91be61ac90a> (referer: https://www.google.com/)
[2026-08-22 06:23:46] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/1d68ace02a97461c98378a883ee07a40> (referer: https://www.google.com/)
[2026-08-22 06:23:46] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/1d68ace02a97461c98378a883ee07a40> (referer: https://www.google.com/)
[2026-08-22 06:23:47] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/1d68ace02a97461c98378a883ee07a40> (referer: https://www.google.com/)
[2026-08-22 06:23:48] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/1d68ace02a97461c98378a883ee07a40> (referer: https://www.google.com/)
[2026-08-22 06:23:49] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/a308596c5d4e432fa53aa1fc4554022a> (referer: https://www.google.com/)
[2026-08-22 06:23:49] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/46a0c3431664440e9768086327c953c5> (referer: https://www.google.com/)
[2026-08-22 06:23:50] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/dd528fdf820846e9af995c39002b5a8d> (referer: https://www.google.com/)
[2026-08-22 06:23:51] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/9a3e7079b1654049bb2778e704a51341> (referer: https://www.google.com/)
[2026-08-22 06:23:51] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/d6a7600483194fedb0a66ea4b148e9fc> (referer: https://www.google.com/)
[2026-08-22 06:23:52] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/5f6e8f6afde04cbb8818f4fe3db1b138> (referer: https://www.google.com/)
[2026-08-22 06:23:53] INFO: Fetched (200) <GET https://media-assets.grailed.com/prd/listing/temp/ab7a1312881949eb8fd5d4489dc0fb6a> (referer: https://www.google.com/)
